TIEMPO_seg,TOBILLO_DERECHO_x_mts,TOBILLO_DERECHO_y_mts,TOBILLO_IZQUIERDO_x_mts,TOBILLO_IZQUIERDO_y_mts,DISTANCIA_TOBILLOS_mts
307.74893,0.309497267008,0.309497267008,-0.480089187622,-0.480089187622,0.36739
307.78999,0.261830806732,0.261830806732,-0.47327247262,-0.47327247262,0.36305
307.81964,0.196512922645,0.196512922645,-0.456098407507,-0.456098407507,0.4463
307.85084,0.106721438468,0.106721438468,-0.454251050949,-0.454251050949,0.52302
307.88196,0.0517035797238,0.0517035797238,-0.452983438969,-0.452983438969,0.58597
307.91338,0.0284752622247,0.0284752622247,-0.450571417809,-0.450571417809,0.60508
307.95373,-0.061371203512,-0.061371203512,-0.429560899734,-0.429560899734,0.66067
307.99318,-0.0438579618931,-0.0438579618931,-0.442027390003,-0.442027390003,0.66387
308.03361,0.019053041935,0.019053041935,-0.439135193825,-0.439135193825,0.61247
308.09074,0.00408312678337,0.00408312678337,-0.437886059284,-0.437886059284,0.61866
308.13489,-0.00923383235931,-0.00923383235931,-0.436834275723,-0.436834275723,0.6188
308.19457,-0.0331420898438,-0.0331420898438,-0.439921617508,-0.439921617508,0.62213
308.24345,-0.0462661385536,-0.0462661385536,-0.441462546587,-0.441462546587,0.62498
308.29786,-0.102114543319,-0.102114543319,-0.320606142282,-0.320606142282,0.58195
308.33598,-0.0834816247225,-0.0834816247225,-0.438803553581,-0.438803553581,0.62913
308.38708,-0.0840911492705,-0.0840911492705,-0.409234344959,-0.409234344959,0.61003
308.42958,-0.086828418076,-0.086828418076,-0.368274152279,-0.368274152279,0.55679
308.46399,-0.087880641222,-0.087880641222,-0.400458365679,-0.400458365679,0.52835
308.52289,-0.0890963822603,-0.0890963822603,-0.366538047791,-0.366538047791,0.31307
308.56068,-0.0902977660298,-0.0902977660298,-0.368459552526,-0.368459552526,0.27956
308.60676,-0.0893867760897,-0.0893867760897,-0.420088171959,-0.420088171959,0.19685
308.64776,-0.0894117355347,-0.0894117355347,-0.437128901482,-0.437128901482,0.34534
308.68181,-0.0899677425623,-0.0899677425623,-0.491845756769,-0.491845756769,0.43763
308.7253,-0.0903325304389,-0.0903325304389,-0.49895876646,-0.49895876646,0.46731
308.76259,-0.0909196436405,-0.0909196436405,-0.504323303699,-0.504323303699,0.52283
308.80364,-0.0953363776207,-0.0953363776207,-0.488375842571,-0.488375842571,0.67995
308.84937,-0.0984473004937,-0.0984473004937,-0.483741313219,-0.483741313219,0.70882
308.88032,-0.10183942318,-0.10183942318,-0.481995284557,-0.481995284557,0.7065
308.9187,-0.102324396372,-0.102324396372,-0.483956456184,-0.483956456184,0.70404
308.9609,-0.123317718506,-0.123317718506,-0.483806073666,-0.483806073666,0.68949
308.99289,-0.12460706383,-0.12460706383,-0.48405700922,-0.48405700922,0.68865
309.03249,-0.132224053144,-0.132224053144,-0.486423611641,-0.486423611641,0.68645
309.07457,-0.142265230417,-0.142265230417,-0.486593395472,-0.486593395472,0.67877
309.11759,-0.151332378387,-0.151332378387,-0.487243354321,-0.487243354321,0.6732
309.14973,-0.166992276907,-0.166992276907,-0.487101137638,-0.487101137638,0.66126
309.19245,-0.201935097575,-0.201935097575,-0.485130548477,-0.485130548477,0.63405
309.23007,-0.216040819883,-0.216040819883,-0.484807938337,-0.484807938337,0.62204
309.2718,-0.294061034918,-0.294061034918,-0.431711822748,-0.431711822748,0.54087
309.30417,-0.332284897566,-0.332284897566,-0.446898579597,-0.446898579597,0.50612
309.33671,-0.36615049839,-0.36615049839,-0.477835118771,-0.477835118771,0.47275
309.36863,-0.42964169383,-0.42964169383,-0.479417681694,-0.479417681694,0.41522
309.42008,-0.495844125748,-0.495844125748,-0.482854634523,-0.482854634523,0.29236
309.46846,-0.644530594349,-0.644530594349,-0.475527584553,-0.475527584553,0.3041
309.50431,-0.710338115692,-0.710338115692,-0.470767050982,-0.470767050982,0.36638
309.54245,-0.773768305779,-0.773768305779,-0.472012937069,-0.472012937069,0.44184
309.58275,-0.825080156326,-0.825080156326,-0.478200376034,-0.478200376034,0.49518
309.62149,-0.958036422729,-0.958036422729,-0.477881133556,-0.477881133556,0.61701
309.66552,-0.973360836506,-0.973360836506,-0.451897233725,-0.451897233725,0.61453
309.71,-1.01908946037,-1.01908946037,-0.446473360062,-0.446473360062,0.64854
309.74002,-1.0172535181,-1.0172535181,-0.437278240919,-0.437278240919,0.64008
309.79223,-1.01791965961,-1.01791965961,-0.461180597544,-0.461180597544,0.65247
309.83313,-1.01825845242,-1.01825845242,-0.461126059294,-0.461126059294,0.64767
309.86601,-1.02336359024,-1.02336359024,-0.4593513906,-0.4593513906,0.64865
309.90021,-1.02499985695,-1.02499985695,-0.433096468449,-0.433096468449,0.62455
309.94118,-1.02902793884,-1.02902793884,-0.44500041008,-0.44500041008,0.63229
309.9723,-1.02536451817,-1.02536451817,-0.449416995049,-0.449416995049,0.6172
310.02693,-1.02591860294,-1.02591860294,-0.449641764164,-0.449641764164,0.58649
310.06601,-1.02629852295,-1.02629852295,-0.439954102039,-0.439954102039,0.59133
310.1045,-1.02538859844,-1.02538859844,-0.435005962849,-0.435005962849,0.58415
310.15264,-1.02716243267,-1.02716243267,-0.389987111092,-0.389987111092,0.49198
310.20367,-1.02977311611,-1.02977311611,-0.408843457699,-0.408843457699,0.43419
310.24179,-1.03093075752,-1.03093075752,-0.430435031652,-0.430435031652,0.37933
